location,date,snow_depth
Spo,1/16/22,304
Dek,1/16/22,80
Bon,1/17/22,26
Car,1/17/22,0
Arl,1/17/22,55
Han,1/17/22,140
Spo,1/17/22,299
Dek,1/17/22,81
Bon,1/18/22,20
Car,1/18/22,0
Arl,1/18/22,53
Han,1/18/22,136
Spo,1/18/22,292
Dek,1/18/22,79
Bon,1/19/22,0
Car,1/19/22,0
Arl,1/19/22,51
Han,1/19/22,132
Spo,1/19/22,284
Dek,1/19/22,40
Bon,1/20/22,0
Car,1/20/22,0
Arl,1/20/22,48
Han,1/20/22,127
Spo,1/20/22,278
Dek,1/20/22,38
Bon,1/21/22,0
Car,1/21/22,0
Arl,1/21/22,48
Han,1/21/22,126
Spo,1/21/22,275
Dek,1/21/22,37
Bon,1/22/22,0
Car,1/22/22,0
Arl,1/22/22,45
Han,1/22/22,122
Spo,1/22/22,278
Dek,1/22/22,37
Bon,1/23/22,0
Car,1/23/22,0
Arl,1/23/22,79
Han,1/23/22,134
Spo,1/23/22,276
Dek,1/23/22,34
Bon,1/24/22,0
Car,1/24/22,0
Arl,1/24/22,98
Han,1/24/22,134
Spo,1/24/22,277
Dek,1/24/22,71
Bon,1/25/22,0
Car,1/25/22,0
Arl,1/25/22,147
Han,1/25/22,75
Spo,1/25/22,347
Dek,1/25/22,137
Bon,1/26/22,0
Car,1/26/22,0
Arl,1/26/22,141
Han,1/26/22,73
Spo,1/26/22,343
Dek,1/26/22,134
Bon,1/27/22,0
Car,1/27/22,0
Arl,1/27/22,135
Han,1/27/22,70
Spo,1/27/22,339
Dek,1/27/22,131
Bon,1/28/22,0
Car,1/28/22,0
Arl,1/28/22,123
Han,1/28/22,64
Spo,1/28/22,331
Dek,1/28/22,126
Bon,1/29/22,0
Car,1/29/22,3
Arl,1/29/22,119
Han,1/29/22,62
Spo,1/29/22,328
Dek,1/29/22,125
Bon,1/30/22,0
Car,1/30/22,0
Arl,1/30/22,115
Han,1/30/22,60
Spo,1/30/22,323
Dek,1/30/22,122
Bon,1/31/22,0
Car,1/31/22,0
Arl,1/31/22,113
Han,1/31/22,59
Spo,1/31/22,319
Dek,1/31/22,121
Bon,2/1/22,0
Car,2/1/22,0
Arl,2/1/22,92
Han,2/1/22,23
Spo,2/1/22,363
Dek,2/1/22,134
Bon,2/2/22,0
Car,2/2/22,0
Arl,2/2/22,67
Han,2/2/22,10
Spo,2/2/22,355
Dek,2/2/22,124
Bon,2/3/22,11
Car,2/3/22,154
Arl,2/3/22,64
Han,2/3/22,8
Spo,2/3/22,351
Dek,2/3/22,148
Bon,2/4/22,229
Car,2/4/22,181
Arl,2/4/22,62
Han,2/4/22,7
Spo,2/4/22,349
Dek,2/4/22,143
Bon,2/5/22,108
Car,2/5/22,197
Arl,2/5/22,63
Han,2/5/22,8
Spo,2/5/22,347
Dek,2/5/22,140
Bon,2/6/22,98
Car,2/6/22,184
Arl,2/6/22,60
Han,2/6/22,6
Spo,2/6/22,348
Dek,2/6/22,137
Bon,2/7/22,72
Car,2/7/22,171
Arl,2/7/22,57
Han,2/7/22,6
Spo,2/7/22,347
Dek,2/7/22,133
Bon,2/8/22,68
Car,2/8/22,162
Arl,2/8/22,56
Han,2/8/22,4
Spo,2/8/22,343
Dek,2/8/22,130
Bon,2/9/22,0
Car,2/9/22,138
Arl,2/9/22,19
Han,2/9/22,0
Spo,2/9/22,291
Dek,2/9/22,136
Bon,2/10/22,0
Car,2/10/22,128
Arl,2/10/22,22
Han,2/10/22,0
Spo,2/10/22,285
Dek,2/10/22,133
Bon,2/11/22,0
Car,2/11/22,124
Arl,2/11/22,22
Han,2/11/22,16
Spo,2/11/22,324
Dek,2/11/22,132
Bon,2/12/22,0
Car,2/12/22,78
Arl,2/12/22,18
Han,2/12/22,4
Spo,2/12/22,316
Dek,2/12/22,69
Bon,2/13/22,0
Car,2/13/22,80
Arl,2/13/22,17
Han,2/13/22,3
Spo,2/13/22,313
Dek,2/13/22,69
Bon,2/14/22,0
Car,2/14/22,83
Arl,2/14/22,16
Han,2/14/22,2
Spo,2/14/22,314
Dek,2/14/22,68
Bon,2/15/22,0
Car,2/15/22,83
Arl,2/15/22,16
Han,2/15/22,2
Spo,2/15/22,312
Dek,2/15/22,68
Bon,2/16/22,0
Car,2/16/22,61
Arl,2/16/22,13
Han,2/16/22,0
Spo,2/16/22,305
Dek,2/16/22,74
Bon,2/17/22,0
Car,2/17/22,0
Arl,2/17/22,0
Han,2/17/22,0
Spo,2/17/22,297
Dek,2/17/22,0
Bon,2/18/22,0
Car,2/18/22,134
Arl,2/18/22,0
Han,2/18/22,0
Spo,2/18/22,294
Dek,2/18/22,38
Bon,2/19/22,0
Car,2/19/22,116
Arl,2/19/22,0
Han,2/19/22,8
Spo,2/19/22,313
Dek,2/19/22,33
Bon,2/20/22,0
Car,2/20/22,104
Arl,2/20/22,0
Han,2/20/22,3
Spo,2/20/22,307
Dek,2/20/22,27
Bon,2/21/22,0
Car,2/21/22,0
Arl,2/21/22,0
Han,2/21/22,0
Spo,2/21/22,297
Dek,2/21/22,0
Bon,2/22/22,0
Car,2/22/22,0
Arl,2/22/22,2
Han,2/22/22,0
Spo,2/22/22,311
Dek,2/22/22,0
Bon,2/23/22,0
Car,2/23/22,0
Arl,2/23/22,35
Han,2/23/22,78
